GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
BOS1	YLR078C	YLR078C	YLR078C	850767
IPT1	YDR072C	YDR072C	YDR072C	851644
CSN9	YDR179C	YDR179C	YDR179C	851759
MRPL9	YGR220C	YGR220C	YGR220C	853135
GPP1	YIL053W	YIL053W	YIL053W	854758
HLJ1	YMR161W	YMR161W	YMR161W	855196
TIR1	YER011W	YER011W	YER011W	856729
HSP78	YDR258C	YDR258C	YDR258C	851845
SUT1	YGL162W	YGL162W	YGL162W	852714
SLA2	YNL243W	YNL243W	YNL243W	855478
ARC40	YBR234C	YBR234C	YBR234C	852536
SLM2	YNL047C	YNL047C	YNL047C	855680
RGT1	YKL038W	YKL038W	YKL038W	853828
DAK2	YFL053W	YFL053W	YFL053W	850491
UTP30	YKR060W	YKR060W	YKR060W	853934
ARR2	YPR200C	YPR200C	YPR200C	856330
CTR3	YLR411W	YLR411W	YLR411W	851129
EST2	YLR318W	YLR318W	YLR318W	851028
PEX28	YHR150W	YHR150W	YHR150W	856555
MDM34	YGL219C	YGL219C	YGL219C	852654
CDC4	YFL009W	YFL009W	YFL009W	850539
GIP1	YBR045C	YBR045C	YBR045C	852334
SUB1	YMR039C	YMR039C	YMR039C	855055
MIA40	YKL195W	YKL195W	YKL195W	853639
YPR127W	YPR127W	YPR127W	YPR127W	856245
POS5	YPL188W	YPL188W	YPL188W	855913
RPL9A	YGL147C	YGL147C	YGL147C	852730
RAD9	YDR217C	YDR217C	YDR217C	851803
TAF11	YML015C	YML015C	YML015C	854993
VPS70	YJR126C	YJR126C	YJR126C	853590
ATH1	YPR026W	YPR026W	YPR026W	856137
OSH3	YHR073W	YHR073W	YHR073W	856472
RCE1	YMR274C	YMR274C	YMR274C	855317
PLB1	YMR008C	YMR008C	YMR008C	855020
HO	YDL227C	YDL227C	YDL227C	851371
MCA1	YOR197W	YOR197W	YOR197W	854372
YDR034C-C	YDR034C-C	YDR034C-C	YDR034C-C	851600
SWS2	YNL081C	YNL081C	YNL081C	855643
CWP2	YKL096W-A	YKL096W-A	YKL096W-A	853765
KRE28	YDR532C	YDR532C	YDR532C	852145
VMS1	YDR049W	YDR049W	YDR049W	851618
MRPL38	YKL170W	YKL170W	YKL170W	853684
YJL043W	YJL043W	YJL043W	YJL043W	853407
ALG13	YGL047W	YGL047W	YGL047W	852835
SSK1	YLR006C	YLR006C	YLR006C	850692
IRE1	YHR079C	YHR079C	YHR079C	856478
BSP1	YPR171W	YPR171W	YPR171W	856301
RPS1B	YML063W	YML063W	YML063W	854939
TFS1	YLR178C	YLR178C	YLR178C	850875
OCA5	YHL029C	YHL029C	YHL029C	856356
DPB11	YJL090C	YJL090C	YJL090C	853355
FLR1	YBR008C	YBR008C	YBR008C	852293
VPS74	YDR372C	YDR372C	YDR372C	851978
SER1	YOR184W	YOR184W	YOR184W	854356
YHR218W	YHR218W	YHR218W	YHR218W	856628
TOM40	YMR203W	YMR203W	YMR203W	855243
PRI1	YIR008C	YIR008C	YIR008C	854825
NCL1	YBL024W	YBL024W	YBL024W	852257
HIM1	YDR317W	YDR317W	YDR317W	851915
TRL1	YJL087C	YJL087C	YJL087C	853358
LOH1	YJL038C	YJL038C	YJL038C	853413
NRG1	YDR043C	YDR043C	YDR043C	851613
DAP2	YHR028C	YHR028C	YHR028C	856423
RPA43	YOR340C	YOR340C	YOR340C	854518
MGR1	YCL044C	YCL044C	YCL044C	850313
RMD6	YEL072W	YEL072W	YEL072W	856637
ROG3	YFR022W	YFR022W	YFR022W	850578
DSN1	YIR010W	YIR010W	YIR010W	854827
HIR1	YBL008W	YBL008W	YBL008W	852275
YMR178W	YMR178W	YMR178W	YMR178W	855216
COQ10	YOL008W	YOL008W	YOL008W	854154
YSC83	YHR017W	YHR017W	YHR017W	856410
SIR1	YKR101W	YKR101W	YKR101W	853976
SNO1	YMR095C	YMR095C	YMR095C	855120
AIM18	YHR198C	YHR198C	YHR198C	856605
SKI7	YOR076C	YOR076C	YOR076C	854243
YGL015C	YGL015C	YGL015C	YGL015C	852869
ALG9	YNL219C	YNL219C	YNL219C	855502
CLB4	YLR210W	YLR210W	YLR210W	850907
CAP2	YIL034C	YIL034C	YIL034C	854777
PEP3	YLR148W	YLR148W	YLR148W	850840
YOR342C	YOR342C	YOR342C	YOR342C	854520
NBA1	YOL070C	YOL070C	YOL070C	854084
DHH1	YDL160C	YDL160C	YDL160C	851394
CBR1	YIL043C	YIL043C	YIL043C	854768
PHB2	YGR231C	YGR231C	YGR231C	853146
YPR202W	YPR202W	YPR202W	YPR202W	856332
RPL26B	YGR034W	YGR034W	YGR034W	852922
RSN1	YMR266W	YMR266W	YMR266W	855308
HDA1	YNL021W	YNL021W	YNL021W	855710
YPL107W	YPL107W	YPL107W	YPL107W	855997
CTT1	YGR088W	YGR088W	YGR088W	852979
BUD31	YCR063W	YCR063W	YCR063W	850427
STP4	YDL048C	YDL048C	YDL048C	851512
PRE8	YML092C	YML092C	YML092C	854882
YPR097W	YPR097W	YPR097W	YPR097W	856212
YBR201C-A	YBR201C-A	YBR201C-A	YBR201C-A	3799967
OCA2	YNL056W	YNL056W	YNL056W	855668
ATS1	YAL020C	YAL020C	YAL020C	851213
RTK1	YDL025C	YDL025C	YDL025C	851536
AAD4	YDL243C	YDL243C	YDL243C	851354
GNA1	YFL017C	YFL017C	YFL017C	850529
MDS3	YGL197W	YGL197W	YGL197W	852678
YLR256W-A	YLR256W-A	YLR256W-A	YLR256W-A	850959
HXT4	YHR092C	YHR092C	YHR092C	856492
SOF1	YLL011W	YLL011W	YLL011W	850649
SDH6	YDR379C-A	YDR379C-A	YDR379C-A	851986
PDS1	YDR113C	YDR113C	YDR113C	851691
ATG26	YLR189C	YLR189C	YLR189C	850886
AIF1	YNR074C	YNR074C	YNR074C	855811
YOL159C	YOL159C	YOL159C	YOL159C	854006
MPH2	YDL247W	YDL247W	YDL247W	851350
CAF16	YFL028C	YFL028C	YFL028C	850516
RAD52	YML032C	YML032C	YML032C	854976
RIB5	YBR256C	YBR256C	YBR256C	852559
TGL5	YOR081C	YOR081C	YOR081C	854248
SIR3	YLR442C	YLR442C	YLR442C	851163
RMI1	YPL024W	YPL024W	YPL024W	856083
PET111	YMR257C	YMR257C	YMR257C	855299
DTD1	YDL219W	YDL219W	YDL219W	851307
SRP21	YKL122C	YKL122C	YKL122C	853737
THI3	YDL080C	YDL080C	YDL080C	851479
DOC1	YGL240W	YGL240W	YGL240W	852611
IRC22	YEL001C	YEL001C	YEL001C	856717
NUT2	YPR168W	YPR168W	YPR168W	856297
CTM1	YHR109W	YHR109W	YHR109W	856509
BNA3	YJL060W	YJL060W	YJL060W	853386
ALD6	YPL061W	YPL061W	YPL061W	856044
CRF1	YDR223W	YDR223W	YDR223W	851809
GRX4	YER174C	YER174C	YER174C	856921
SRB5	YGR104C	YGR104C	YGR104C	852996
VPS34	YLR240W	YLR240W	YLR240W	850941
FCY1	YPR062W	YPR062W	YPR062W	856175
DIT2	YDR402C	YDR402C	YDR402C	852011
PAU23	YLR037C	YLR037C	YLR037C	850726
TIF34	YMR146C	YMR146C	YMR146C	855177
YAP1802	YGR241C	YGR241C	YGR241C	853157
PYC1	YGL062W	YGL062W	YGL062W	852818
BRR1	YPR057W	YPR057W	YPR057W	856170
RPA14	YDR156W	YDR156W	YDR156W	851734
RSM7	YJR113C	YJR113C	YJR113C	853578
NAT3	YPR131C	YPR131C	YPR131C	856249
RPL15A	YLR029C	YLR029C	YLR029C	850716
YMR155W	YMR155W	YMR155W	YMR155W	855187
RHO5	YNL180C	YNL180C	YNL180C	855541
AXL2	YIL140W	YIL140W	YIL140W	854666
GLO2	YDR272W	YDR272W	YDR272W	851865
YDR114C	YDR114C	YDR114C	YDR114C	851693
YOR238W	YOR238W	YOR238W	YOR238W	854413
MRP8	YKL142W	YKL142W	YKL142W	853715
SLS1	YLR139C	YLR139C	YLR139C	850830
AGA1	YNR044W	YNR044W	YNR044W	855780
SUT2	YPR009W	YPR009W	YPR009W	856118
ERC1	YHR032W	YHR032W	YHR032W	856427
TIF35	YDR429C	YDR429C	YDR429C	852039
KXD1	YGL079W	YGL079W	YGL079W	852801
SSK2	YNR031C	YNR031C	YNR031C	855765
STE12	YHR084W	YHR084W	YHR084W	856484
UTP23	YOR004W	YOR004W	YOR004W	854165
TRI1	YMR233W	YMR233W	YMR233W	855273
YMR244W	YMR244W	YMR244W	YMR244W	855285
PSR1	YLL010C	YLL010C	YLL010C	850650
KAR1	YNL188W	YNL188W	YNL188W	855533
LEU4	YNL104C	YNL104C	YNL104C	855619
EPS1	YIL005W	YIL005W	YIL005W	854812
YOR365C	YOR365C	YOR365C	YOR365C	854548
ALG12	YNR030W	YNR030W	YNR030W	855764
TSC10	YBR265W	YBR265W	YBR265W	852568
AI2	Q0055	Q0055	Q0055	854594
SNT2	YGL131C	YGL131C	YGL131C	852746
YDR246W-A	YDR246W-A	YDR246W-A	YDR246W-A	1466436
YHR033W	YHR033W	YHR033W	YHR033W	856428
YNR040W	YNR040W	YNR040W	YNR040W	855776
SOL1	YNR034W	YNR034W	YNR034W	855769
YEL076C	YEL076C	YEL076C	YEL076C	856633
DCS2	YOR173W	YOR173W	YOR173W	854344
TEA1	YOR337W	YOR337W	YOR337W	854515
VPS73	YGL104C	YGL104C	YGL104C	852774
YNL181W	YNL181W	YNL181W	YNL181W	855540
SEC1	YDR164C	YDR164C	YDR164C	851742
MPC3	YGR243W	YGR243W	YGR243W	853158
RGS2	YOR107W	YOR107W	YOR107W	854274
SPP41	YDR464W	YDR464W	YDR464W	852075
YGR210C	YGR210C	YGR210C	YGR210C	853124
YLR012C	YLR012C	YLR012C	YLR012C	850699
GLN4	YOR168W	YOR168W	YOR168W	854339
OSW2	YLR054C	YLR054C	YLR054C	850743
RLP7	YNL002C	YNL002C	YNL002C	855730
EGD2	YHR193C	YHR193C	YHR193C	856600
RIM21	YNL294C	YNL294C	YNL294C	855422
DNL4	YOR005C	YOR005C	YOR005C	854166
YPR147C	YPR147C	YPR147C	YPR147C	856270
PHO3	YBR092C	YBR092C	YBR092C	852389
YJL028W	YJL028W	YJL028W	YJL028W	853425
SSP2	YOR242C	YOR242C	YOR242C	854416
FMP25	YLR077W	YLR077W	YLR077W	850766
SRB8	YCR081W	YCR081W	YCR081W	850442
ERD2	YBL040C	YBL040C	YBL040C	852240
RSF2	YJR127C	YJR127C	YJR127C	853592
SWI3	YJL176C	YJL176C	YJL176C	853264
RIF2	YLR453C	YLR453C	YLR453C	851174
YCR007C	YCR007C	YCR007C	YCR007C	850364
FUR1	YHR128W	YHR128W	YHR128W	856529
TIM18	YOR297C	YOR297C	YOR297C	854472
HTA1	YDR225W	YDR225W	YDR225W	851811
ATP20	YPR020W	YPR020W	YPR020W	856131
YJR003C	YJR003C	YJR003C	YJR003C	853459
XBP1	YIL101C	YIL101C	YIL101C	854706
SPL2	YHR136C	YHR136C	YHR136C	856538
YPR114W	YPR114W	YPR114W	YPR114W	856230
GUP2	YPL189W	YPL189W	YPL189W	855912
ZAP1	YJL056C	YJL056C	YJL056C	853390
YLR264C-A	YLR264C-A	YLR264C-A	YLR264C-A	1466417
YPL247C	YPL247C	YPL247C	YPL247C	855829
CWC21	YDR482C	YDR482C	YDR482C	852093
ALB1	YJL122W	YJL122W	YJL122W	853320
SHP1	YBL058W	YBL058W	YBL058W	852222
UBI4	YLL039C	YLL039C	YLL039C	850620
YKL107W	YKL107W	YKL107W	YKL107W	853753
NFS1	YCL017C	YCL017C	YCL017C	850343
YER085C	YER085C	YER085C	YER085C	856818
HSC82	YMR186W	YMR186W	YMR186W	855224
HCM1	YCR065W	YCR065W	YCR065W	850429
FDH1	YOR388C	YOR388C	YOR388C	854570
NOC3	YLR002C	YLR002C	YLR002C	850688
SEC53	YFL045C	YFL045C	YFL045C	850499
NVJ2	YPR091C	YPR091C	YPR091C	856207
ATG34	YOL083W	YOL083W	YOL083W	854071
YLR307C-A	YLR307C-A	YLR307C-A	YLR307C-A	1466419
YDR366C	YDR366C	YDR366C	YDR366C	851972
AI4	Q0065	Q0065	Q0065	854596
ARK1	YNL020C	YNL020C	YNL020C	855711
MET13	YGL125W	YGL125W	YGL125W	852752
KAE1	YKR038C	YKR038C	YKR038C	853910
GDH2	YDL215C	YDL215C	YDL215C	851311
TAL1	YLR354C	YLR354C	YLR354C	851068
FAR7	YFR008W	YFR008W	YFR008W	850559
DPP1	YDR284C	YDR284C	YDR284C	851878
IES1	YFL013C	YFL013C	YFL013C	850534
SFK1	YKL051W	YKL051W	YKL051W	853815
YPR174C	YPR174C	YPR174C	YPR174C	856304
NPL6	YMR091C	YMR091C	YMR091C	855116
TIM17	YJL143W	YJL143W	YJL143W	853298
LST7	YGR057C	YGR057C	YGR057C	852948
MST1	YKL194C	YKL194C	YKL194C	853640
CDA2	YLR308W	YLR308W	YLR308W	851017
ECM2	YBR065C	YBR065C	YBR065C	852357
FAR8	YMR029C	YMR029C	YMR029C	855044
YHL042W	YHL042W	YHL042W	YHL042W	856343
THI22	YPR121W	YPR121W	YPR121W	856239
FKH2	YNL068C	YNL068C	YNL068C	855656
YLR156C-A	YLR156C-A	YLR156C-A	YLR156C-A	1466415
YLR156C-A	YLR156C-A	YLR156C-A	YLR156C-A	1466414
YLR156C-A	YLR156C-A	YLR156C-A	YLR156C-A	1466411
YLR156C-A	YLR156C-A	YLR156C-A	YLR156C-A	1466410
ARI1	YGL157W	YGL157W	YGL157W	852720
MPT5	YGL178W	YGL178W	YGL178W	852697
OSW5	YMR148W	YMR148W	YMR148W	855179
SML1	YML058W	YML058W	YML058W	854945
YEF3	YLR249W	YLR249W	YLR249W	850951
UGA1	YGR019W	YGR019W	YGR019W	852902
YJL049W	YJL049W	YJL049W	YJL049W	853398
SHM1	YBR263W	YBR263W	YBR263W	852565
APC5	YOR249C	YOR249C	YOR249C	854423
BRN1	YBL097W	YBL097W	YBL097W	852180
HTL1	YCR020W-B	YCR020W-B	YCR020W-B	850384
YDR286C	YDR286C	YDR286C	YDR286C	851880
YDR170W-A	YDR170W-A	YDR170W-A	YDR170W-A	851750
YLR342W-A	YLR342W-A	YLR342W-A	YLR342W-A	1466421
YGR027W-A	YGR027W-A	YGR027W-A	YGR027W-A	852912
ECM13	YBL043W	YBL043W	YBL043W	852237
POM34	YLR018C	YLR018C	YLR018C	850705
PDS5	YMR076C	YMR076C	YMR076C	855099
TUM1	YOR251C	YOR251C	YOR251C	854425
TIM8	YJR135W-A	YJR135W-A	YJR135W-A	853600
YOR186W	YOR186W	YOR186W	YOR186W	854358
RRP8	YDR083W	YDR083W	YDR083W	851656
YOR011W-A	YOR011W-A	YOR011W-A	YOR011W-A	1466479
HRK1	YOR267C	YOR267C	YOR267C	854441
AHP1	YLR109W	YLR109W	YLR109W	850799
HMS1	YOR032C	YOR032C	YOR032C	854197
TMA46	YOR091W	YOR091W	YOR091W	854258
TIF1	YKR059W	YKR059W	YKR059W	853933
TIF1	YKR059W	YKR059W	YKR059W	853303
KTR3	YBR205W	YBR205W	YBR205W	852504
TAD3	YLR316C	YLR316C	YLR316C	851027
SEC72	YLR292C	YLR292C	YLR292C	850999
PER1	YCR044C	YCR044C	YCR044C	850411
CPR6	YLR216C	YLR216C	YLR216C	850914
BAP3	YDR046C	YDR046C	YDR046C	851616
SRS2	YJL092W	YJL092W	YJL092W	853353
GIS1	YDR096W	YDR096W	YDR096W	851670
YML018C	YML018C	YML018C	YML018C	854990
GMC2	YLR445W	YLR445W	YLR445W	851166
RUP1	YOR138C	YOR138C	YOR138C	854306
RPS12	YOR369C	YOR369C	YOR369C	854551
BRF1	YGR246C	YGR246C	YGR246C	853161
RPS4A	YJR145C	YJR145C	YJR145C	856610
RPS4A	YJR145C	YJR145C	YJR145C	853610
IML1	YJR138W	YJR138W	YJR138W	853603
FYV4	YHR059W	YHR059W	YHR059W	856456
NHA1	YLR138W	YLR138W	YLR138W	850829
YHL009W-B	YHL009W-B	YHL009W-B	YHL009W-B	856380
YDR098C-B	YDR098C-B	YDR098C-B	YDR098C-B	851674
NSG2	YNL156C	YNL156C	YNL156C	855566
INP52	YNL106C	YNL106C	YNL106C	855618
CUS2	YNL286W	YNL286W	YNL286W	855430
YPT53	YNL093W	YNL093W	YNL093W	855631
APQ12	YIL040W	YIL040W	YIL040W	854771
GFA1	YKL104C	YKL104C	YKL104C	853757
EMG1	YLR186W	YLR186W	YLR186W	850883
SNX41	YDR425W	YDR425W	YDR425W	852035
PCL10	YGL134W	YGL134W	YGL134W	852743
RPL43B	YJR094W-A	YJR094W-A	YJR094W-A	856156
RPL43B	YJR094W-A	YJR094W-A	YJR094W-A	853557
SSD1	YDR293C	YDR293C	YDR293C	851887
SMM1	YNR015W	YNR015W	YNR015W	855749
RPL14A	YKL006W	YKL006W	YKL006W	853864
YLR456W	YLR456W	YLR456W	YLR456W	851178
ADA2	YDR448W	YDR448W	YDR448W	852059
YIL166C	YIL166C	YIL166C	YIL166C	854640
MSH6	YDR097C	YDR097C	YDR097C	851671
TOG1	YER184C	YER184C	YER184C	856933
YJL047C-A	YJL047C-A	YJL047C-A	YJL047C-A	1466468
MPM1	YJL066C	YJL066C	YJL066C	853379
YJU2	YKL095W	YKL095W	YKL095W	853767
MDM30	YLR368W	YLR368W	YLR368W	851083
TOA1	YOR194C	YOR194C	YOR194C	854369
ERG25	YGR060W	YGR060W	YGR060W	852951
SRB2	YHR041C	YHR041C	YHR041C	856437
LYS2	YBR115C	YBR115C	YBR115C	852412
HMRA1	YCR097W	YCR097W	YCR097W	850459
RTC2	YBR147W	YBR147W	YBR147W	852444
MSH4	YFL003C	YFL003C	YFL003C	850545
NAM8	YHR086W	YHR086W	YHR086W	856486
RPL18A	YOL120C	YOL120C	YOL120C	855415
RPL18A	YOL120C	YOL120C	YOL120C	854029
