GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
CG31814	FBgn0051814	FBtr0343665	FBpp0310257	318958
CG31814	FBgn0051814	FBtr0080580	FBpp0080157	318958
CG15322	FBgn0031088	FBtr0301569	FBpp0290784	33012
CG15322	FBgn0031088	FBtr0343166	FBpp0309860	33012
MT:COIII	FBgn0013676	FBtr0100868	FBpp0100180	19893540
L(2)37CE	FBgn0086446	FBtr0081157	FBpp0080701	35195
REPS	FBgn0032341	FBtr0306139	FBpp0297276	34542
REPS	FBgn0032341	FBtr0080230	FBpp0079817	34542
CG13659	FBgn0039319	FBtr0084828	FBpp0084203	43059
UNC-115B	FBgn0260463	FBtr0303039	FBpp0292158	41178
UNC-115B	FBgn0260463	FBtr0346713	FBpp0312324	41178
UNC-115B	FBgn0260463	FBtr0082096	FBpp0081574	41178
UNC-115B	FBgn0260463	FBtr0082094	FBpp0081572	41178
UNC-115B	FBgn0260463	FBtr0082097	FBpp0081575	41178
UNC-115B	FBgn0260463	FBtr0082095	FBpp0081573	41178
CG9186	FBgn0035206	FBtr0072728	FBpp0072612	38150
CG9186	FBgn0035206	FBtr0072727	FBpp0072611	38150
TWS	FBgn0004889	FBtr0082189	FBpp0081667	47877
TWS	FBgn0004889	FBtr0082187	FBpp0081665	47877
TWS	FBgn0004889	FBtr0082191	FBpp0081669	47877
TWS	FBgn0004889	FBtr0082192	FBpp0081670	47877
TWS	FBgn0004889	FBtr0082186	FBpp0081664	47877
TWS	FBgn0004889	FBtr0345177	FBpp0311386	47877
TWS	FBgn0004889	FBtr0082190	FBpp0081668	47877
TWS	FBgn0004889	FBtr0082188	FBpp0081666	47877
TWS	FBgn0004889	FBtr0082193	FBpp0081671	47877
CG34230	FBgn0085259	FBtr0112423	FBpp0111338	5740558
BIP1	FBgn0026263	FBtr0302329	FBpp0291535	38891
BIP1	FBgn0026263	FBtr0076745	FBpp0076462	38891
CG3448	FBgn0035996	FBtr0076476	FBpp0076204	39094
CG5003	FBgn0039554	FBtr0085272	FBpp0084641	43344
CG44245	FBgn0265180	FBtr0339094	FBpp0308239	19835749
CG44245	FBgn0265180	FBtr0339095	FBpp0308240	19835749
CG9356	FBgn0037688	FBtr0082048	FBpp0081526	41122
CG9356	FBgn0037688	FBtr0082047	FBpp0081525	41122
CG44286	FBgn0265313	FBtr0344468	FBpp0310839	19835613
CG44286	FBgn0265313	FBtr0339364	FBpp0308457	19835613
CG44286	FBgn0265313	FBtr0344469	FBpp0310840	19835613
CG44286	FBgn0265313	FBtr0339363	FBpp0308456	19835613
YT521-B	FBgn0027616	FBtr0073078	FBpp0072940	38420
YT521-B	FBgn0027616	FBtr0073079	FBpp0072941	38420
CORT	FBgn0000351	FBtr0079320	FBpp0078949	33937
CORT	FBgn0000351	FBtr0333350	FBpp0305542	33937
CG31644	FBgn0051644	FBtr0342622	FBpp0309557	318868
CG31644	FBgn0051644	FBtr0342621	FBpp0309556	318868
CG31644	FBgn0051644	FBtr0079159	FBpp0078790	318868
PUM	FBgn0003165	FBtr0081994	FBpp0081474	41094
PUM	FBgn0003165	FBtr0305197	FBpp0293727	41094
PUM	FBgn0003165	FBtr0333668	FBpp0305824	41094
