GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
CG31244	FBgn0051244	FBtr0083772	FBpp0083186
CG33775	FBgn0053775	FBtr0091776	FBpp0091037
CG6432	FBgn0039184	FBtr0084606	FBpp0083990
CG6432	FBgn0039184	FBtr0346110	FBpp0311939
CG9396	FBgn0037714	FBtr0082111	FBpp0081589
OBST-E	FBgn0031737	FBtr0079164	FBpp0078795
OBST-E	FBgn0031737	FBtr0079163	FBpp0078794
CG12831	FBgn0033141	FBtr0345466	FBpp0311584
CG12831	FBgn0033141	FBtr0300063	FBpp0289340
CG34175	FBgn0085204	FBtr0112366	FBpp0111281
CG32428	FBgn0052428	FBtr0300452	FBpp0289680
CG32428	FBgn0052428	FBtr0078222	FBpp0077880
CG32428	FBgn0052428	FBtr0303381	FBpp0292443
SR	FBgn0003499	FBtr0301615	FBpp0290830
SR	FBgn0003499	FBtr0344633	FBpp0310950
SR	FBgn0003499	FBtr0330050	FBpp0303083
SR	FBgn0003499	FBtr0083542	FBpp0082966
SR	FBgn0003499	FBtr0083543	FBpp0082967
SFP33A4	FBgn0265349	FBtr0301936	FBpp0291148
CG13023	FBgn0036677	FBtr0345805	FBpp0311791
CG13023	FBgn0036677	FBtr0075307	FBpp0075067
CG44139	FBgn0264988	FBtr0335463	FBpp0307440
CG8888	FBgn0033679	FBtr0088022	FBpp0087129
CG15370	FBgn0030107	FBtr0071310	FBpp0071245
CG18004	FBgn0033566	FBtr0339473	FBpp0308556
CG18004	FBgn0033566	FBtr0089729	FBpp0088670
CG18004	FBgn0033566	FBtr0089728	FBpp0088669
CG18327	FBgn0033904	FBtr0087522	FBpp0086651
CG18327	FBgn0033904	FBtr0332918	FBpp0305138
CG4810	FBgn0037994	FBtr0082546	FBpp0082019
CG9231	FBgn0036887	FBtr0344994	FBpp0311248
CG9231	FBgn0036887	FBtr0074972	FBpp0074740
EAF6	FBgn0035624	FBtr0077126	FBpp0076832
CG7956	FBgn0038890	FBtr0301211	FBpp0290429
CG7956	FBgn0038890	FBtr0334663	FBpp0306725
CG7956	FBgn0038890	FBtr0301212	FBpp0290430
CG7956	FBgn0038890	FBtr0084112	FBpp0083511
CG7956	FBgn0038890	FBtr0334664	FBpp0306726
