GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
AKT-1	WBGene00000102	C12D8.10b	C12D8.10b	179424
AKT-1	WBGene00000102	C12D8.10c	C12D8.10c	179424
AKT-2	WBGene00000103	F28H6.1a	F28H6.1a	181524
AKT-2	WBGene00000103	F28H6.1b	F28H6.1b	181524
ALG-1	WBGene00000105	F48F7.1a	F48F7.1a	181504
ALG-1	WBGene00000105	F48F7.1b	F48F7.1b	181504
ALG-2	WBGene00000106	T07D3.7a	T07D3.7a	173468
ALG-2	WBGene00000106	T07D3.7b	T07D3.7b	173468
ALH-1	WBGene00000107	F54D8.3a.1	F54D8.3a.1	175691
ALH-1	WBGene00000107	F54D8.3a.2	F54D8.3a.2	175691
ALH-1	WBGene00000107	F54D8.3b.1	F54D8.3b.1	175691
ALH-1	WBGene00000107	F54D8.3b.2	F54D8.3b.2	175691
ALH-1	WBGene00000107	F54D8.3b.3	F54D8.3b.3	175691
ALH-1	WBGene00000107	F54D8.3b.4	F54D8.3b.4	175691
ALH-2	WBGene00000108	K04F1.15	K04F1.15	187001
ALH-3	WBGene00000109	F36H1.6	F36H1.6	177999
ALH-4	WBGene00000110	T05H4.13a.1	T05H4.13a.1	179026
ALH-4	WBGene00000110	T05H4.13a.2	T05H4.13a.2	179026
ALH-4	WBGene00000110	T05H4.13b.1	T05H4.13b.1	179026
ALH-4	WBGene00000110	T05H4.13b.2	T05H4.13b.2	179026
ALH-4	WBGene00000110	T05H4.13c.1	T05H4.13c.1	179026
ALH-4	WBGene00000110	T05H4.13c.2	T05H4.13c.2	179026
ALH-5	WBGene00000111	T08B1.3	T08B1.3	178680
ALH-6	WBGene00000112	F56D12.1a.1	F56D12.1a.1	173510
ALH-6	WBGene00000112	F56D12.1a.2	F56D12.1a.2	173510
ALH-6	WBGene00000112	F56D12.1a.3	F56D12.1a.3	173510
ALH-6	WBGene00000112	F56D12.1b.1	F56D12.1b.1	173510
ALH-6	WBGene00000112	F56D12.1b.2	F56D12.1b.2	173510
ALH-6	WBGene00000112	F56D12.1b.3	F56D12.1b.3	173510
ALH-6	WBGene00000112	F56D12.1c.1	F56D12.1c.1	173510
ALH-6	WBGene00000112	F56D12.1c.2	F56D12.1c.2	173510
ALH-6	WBGene00000112	F56D12.1c.3	F56D12.1c.3	173510
ALH-6	WBGene00000112	F56D12.1d.1	F56D12.1d.1	173510
ALH-6	WBGene00000112	F56D12.1d.2	F56D12.1d.2	173510
ALH-7	WBGene00000113	F45H10.1a.1	F45H10.1a.1	174991
ALH-7	WBGene00000113	F45H10.1a.2	F45H10.1a.2	174991
ALH-7	WBGene00000113	F45H10.1b	F45H10.1b	174991
ALH-8	WBGene00000114	F13D12.4a.1	F13D12.4a.1	174800
ALH-8	WBGene00000114	F13D12.4a.2	F13D12.4a.2	174800
ALH-8	WBGene00000114	F13D12.4a.3	F13D12.4a.3	174800
ALH-8	WBGene00000114	F13D12.4b	F13D12.4b	174800
ALH-9	WBGene00000115	F01F1.6.1	F01F1.6.1	175820
ALH-9	WBGene00000115	F01F1.6.2	F01F1.6.2	175820
ALH-10	WBGene00000116	C54D1.4	C54D1.4	180979
ALH-11	WBGene00000117	F42G9.5a	F42G9.5a	185679
ALH-11	WBGene00000117	F42G9.5b	F42G9.5b	185679
ALH-12	WBGene00000118	Y69F12A.2a.1	Y69F12A.2a.1	176056
ALH-12	WBGene00000118	Y69F12A.2a.2	Y69F12A.2a.2	176056
ALH-12	WBGene00000118	Y69F12A.2b.1	Y69F12A.2b.1	176056
ALH-12	WBGene00000118	Y69F12A.2b.2	Y69F12A.2b.2	176056
ALY-1	WBGene00000120	C01F6.5	C01F6.5	177735
ALY-2	WBGene00000121	F23B2.6	F23B2.6	177738
ALY-3	WBGene00000122	M18.7a.1	M18.7a.1	178157
ALY-3	WBGene00000122	M18.7a.2	M18.7a.2	178157
ALY-3	WBGene00000122	M18.7b		178157
AMA-1	WBGene00000123	F36A4.7	F36A4.7	177190
AMT-1	WBGene00000133	C05E11.4	C05E11.4	180729
AMT-2	WBGene00000134	F49E11.3	F49E11.3	186047
AMT-3	WBGene00000135	M195.3	M195.3	174338
AMT-4	WBGene00000136	C05E11.5	C05E11.5	180728
AMX-1	WBGene00000137	R13G10.2	R13G10.2	175493
AMX-2	WBGene00000138	B0019.1	B0019.1	173146
AMX-3	WBGene00000139	F25C8.2a	F25C8.2a	184919
AMX-3	WBGene00000139	F25C8.2b	F25C8.2b	184919
ANC-1	WBGene00000140	ZK973.6	ZK973.6	172034
AOS-1	WBGene00000142	C08B6.9	C08B6.9	179409
APC-2	WBGene00000143	K06H7.6	K06H7.6	176139
APC-10	WBGene00000144	F15H10.3a.1	F15H10.3a.1	179454
APC-10	WBGene00000144	F15H10.3a.2	F15H10.3a.2	179454
APC-10	WBGene00000144	F15H10.3a.3	F15H10.3a.3	179454
APC-10	WBGene00000144	F15H10.3b	F15H10.3b	179454
APC-10	WBGene00000144	F15H10.3c	F15H10.3c	179454
APC-10	WBGene00000144	F15H10.3d	F15H10.3d	179454
APC-11	WBGene00000145	F35G12.9	F35G12.9	175604
APE-1	WBGene00000146	F46F3.4a	F46F3.4a	179601
APE-1	WBGene00000146	F46F3.4b	F46F3.4b	179601
APE-1	WBGene00000146	F46F3.4c	F46F3.4c	179601
APE-1	WBGene00000146	F46F3.4d	F46F3.4d	179601
APH-1	WBGene00000147	VF36H2L.1	VF36H2L.1	172747
APH-2	WBGene00000148	ZC434.6a	ZC434.6a	172905
APH-2	WBGene00000148	ZC434.6b	ZC434.6b	172905
APL-1	WBGene00000149	C42D8.8a	C42D8.8a	180783
APL-1	WBGene00000149	C42D8.8b	C42D8.8b	180783
APM-1	WBGene00000150	F55A12.7	F55A12.7	172180
APN-1	WBGene00000151	T05H10.2	T05H10.2	174291
APP-1	WBGene00000155	W03G9.4.1	W03G9.4.1	172118
APP-1	WBGene00000155	W03G9.4.2	W03G9.4.2	172118
APR-1	WBGene00000156	K04G2.8a	K04G2.8a	172591
APR-1	WBGene00000156	K04G2.8b	K04G2.8b	172591
APS-2	WBGene00000157	F02E8.3	F02E8.3	184091
APG-1	WBGene00000158	Y105E8A.9	Y105E8A.9	173304
APS-1	WBGene00000159	F29G9.3	F29G9.3	178989
APB-1	WBGene00000160	Y71H2B.10a	Y71H2B.10a	175376
APB-1	WBGene00000160	Y71H2B.10b	Y71H2B.10b	175376
APB-1	WBGene00000160	Y71H2B.10c	Y71H2B.10c	175376
APA-2	WBGene00000161	T20B5.1.1	T20B5.1.1	181163
APA-2	WBGene00000161	T20B5.1.2	T20B5.1.2	181163
APD-3	WBGene00000162	W09G10.4a	W09G10.4a	173701
APD-3	WBGene00000162	W09G10.4b	W09G10.4b	173701
APB-3	WBGene00000163	R11A5.1a	R11A5.1a	172553
APB-3	WBGene00000163	R11A5.1b	R11A5.1b	172553
APM-3	WBGene00000164	F53H8.1	F53H8.1	186194
APS-3	WBGene00000165	Y48G8AL.14	Y48G8AL.14	171691
APT-9	WBGene00000166	W04G3.4	W04G3.4	189194
APX-1	WBGene00000168	K08D9.3	K08D9.3	178759
AQP-1	WBGene00000169	F32A5.5a	F32A5.5a	174190
AQP-1	WBGene00000169	F32A5.5b.1	F32A5.5b.1	174190
AQP-1	WBGene00000169	F32A5.5b.2	F32A5.5b.2	174190
AQP-2	WBGene00000170	C01G6.1a.1	C01G6.1a.1	174467
AQP-2	WBGene00000170	C01G6.1a.2	C01G6.1a.2	174467
AQP-2	WBGene00000170	C01G6.1a.3	C01G6.1a.3	174467
AQP-2	WBGene00000170	C01G6.1b.1	C01G6.1b.1	174467
AQP-2	WBGene00000170	C01G6.1b.2	C01G6.1b.2	174467
AQP-2	WBGene00000170	C01G6.1b.3	C01G6.1b.3	174467
AQP-3	WBGene00000171	Y69E1A.7a	Y69E1A.7a	190553
AQP-3	WBGene00000171	Y69E1A.7b	Y69E1A.7b	190553
AQP-4	WBGene00000172	F40F9.9	F40F9.9	179366
AQP-5	WBGene00000173	C35A5.1	C35A5.1	183221
AQP-6	WBGene00000174	C32C4.2a	C32C4.2a	183121
AQP-6	WBGene00000174	C32C4.2b	C32C4.2b	183121
