GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
AKT-2	WBGene00000103	F28H6.1a	F28H6.1a
AKT-2	WBGene00000103	F28H6.1b	F28H6.1b
ALG-1	WBGene00000105	F48F7.1a	F48F7.1a
ALG-1	WBGene00000105	F48F7.1b	F48F7.1b
ALG-2	WBGene00000106	T07D3.7a	T07D3.7a
ALG-2	WBGene00000106	T07D3.7b	T07D3.7b
ALH-1	WBGene00000107	F54D8.3a.1	F54D8.3a.1
ALH-1	WBGene00000107	F54D8.3a.2	F54D8.3a.2
ALH-1	WBGene00000107	F54D8.3b.1	F54D8.3b.1
ALH-1	WBGene00000107	F54D8.3b.2	F54D8.3b.2
ALH-1	WBGene00000107	F54D8.3b.3	F54D8.3b.3
ALH-1	WBGene00000107	F54D8.3b.4	F54D8.3b.4
ALH-2	WBGene00000108	K04F1.15	K04F1.15
ALH-3	WBGene00000109	F36H1.6	F36H1.6
ALH-4	WBGene00000110	T05H4.13a.1	T05H4.13a.1
ALH-4	WBGene00000110	T05H4.13a.2	T05H4.13a.2
ALH-4	WBGene00000110	T05H4.13b.1	T05H4.13b.1
ALH-4	WBGene00000110	T05H4.13b.2	T05H4.13b.2
ALH-4	WBGene00000110	T05H4.13c.1	T05H4.13c.1
ALH-4	WBGene00000110	T05H4.13c.2	T05H4.13c.2
ALH-5	WBGene00000111	T08B1.3	T08B1.3
ALH-6	WBGene00000112	F56D12.1a.1	F56D12.1a.1
ALH-6	WBGene00000112	F56D12.1a.2	F56D12.1a.2
ALH-6	WBGene00000112	F56D12.1a.3	F56D12.1a.3
ALH-6	WBGene00000112	F56D12.1b.1	F56D12.1b.1
ALH-6	WBGene00000112	F56D12.1b.2	F56D12.1b.2
ALH-6	WBGene00000112	F56D12.1b.3	F56D12.1b.3
ALH-6	WBGene00000112	F56D12.1c.1	F56D12.1c.1
ALH-6	WBGene00000112	F56D12.1c.2	F56D12.1c.2
ALH-6	WBGene00000112	F56D12.1c.3	F56D12.1c.3
ALH-6	WBGene00000112	F56D12.1d.1	F56D12.1d.1
ALH-6	WBGene00000112	F56D12.1d.2	F56D12.1d.2
ALH-7	WBGene00000113	F45H10.1a.1	F45H10.1a.1
ALH-7	WBGene00000113	F45H10.1a.2	F45H10.1a.2
ALH-7	WBGene00000113	F45H10.1b	F45H10.1b
ALH-8	WBGene00000114	F13D12.4a.1	F13D12.4a.1
ALH-8	WBGene00000114	F13D12.4a.2	F13D12.4a.2
ALH-8	WBGene00000114	F13D12.4a.3	F13D12.4a.3
ALH-8	WBGene00000114	F13D12.4b	F13D12.4b
ALH-9	WBGene00000115	F01F1.6.1	F01F1.6.1
ALH-9	WBGene00000115	F01F1.6.2	F01F1.6.2
ALH-10	WBGene00000116	C54D1.4	C54D1.4
ALH-11	WBGene00000117	F42G9.5a	F42G9.5a
ALH-11	WBGene00000117	F42G9.5b	F42G9.5b
