Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	Gene name
YLL067W-A	850476	P0CX99	
YLL067W-A	850476	P0CY00	
YLL067W-A	850476	P0CY01	
YDR207C	851788	P39001	UME6
YDL005C	851559	Q12124	MED2
YPL013C	856094	Q02608	MRPS16
YDR295C	851889	Q06629	HDA2
YAL054C	851245	Q01574	ACS1
YLR398C	851114	P35207	SKI2
YOR081C	854248	Q12043	TGL5
YPR012W		Q04203	
YDR543C		Q03051	
YNL014W	855718	P53978	HEF3
YLR418C	851136	Q06697	CDC73
YMR182C	855220	Q00453	RGM1
YOL145C	854020	P89105	CTR9
YPR042C	856155	Q12221	PUF2
YDL208W	851319	P32495	NHP2
YER078C	856811	P40051	ICP55
YGR127W	853028	P53275	
YOL156W	854009	P54862	HXT11
YMR295C	855341	Q03559	
YAL067C	851230	P39709	SEO1
YGL219C	852654	P53083	MDM34
YBL040C	852240	P18414	ERD2
YKR071C	853945	P36152	DRE2
YOR322C	854500	Q12502	LDB19
YER169W	856916	P39956	RPH1
YMR181C	855219	Q03231	
YML080W	854895	P53759	DUS1
YLR010C	850696	Q07921	TEN1
YMR194C-B	1466503	Q3E7A9	CMC4
YLR307W	851016	Q06702	CDA1
YGL061C	852819	P53168	DUO1
YOL044W	854113	Q08215	PEX15
YGR083C	852974	P12754	GCD2
YMR140W	855171	P40210	SIP5
YHR196W	856603	P38882	UTP9
YPL103C	856001	Q02883	FMP30
YBR165W	852463	P38290	UBS1
YMR058W	855080	P38993	FET3
YOR054C	854220	Q08438	VHS3
YPR028W	856140	Q12402	YOP1
YLR356W	851070	Q06485	ATG33
YBL026W	852255	P38203	LSM2
YPR039W		Q6B0W0	
YDR135C	851713	P39109	YCF1
YFR001W	850551	P43586	LOC1
YGL038C	852845	P31755	OCH1
YCL057C-A	850300	Q96VH5	
YOL031C	854126	Q08199	SIL1
YMR076C	855099	Q04264	PDS5
YPR089W	856204	O13585	
YLR431C	851151	Q06671	ATG23
YOR034C-A	1466482	Q3E735	
YAL059W	851240	P39715	ECM1
YLR109W	850799	P38013	AHP1
YOR306C	854483	Q08777	MCH5
YPL075W	856030	P07261	GCR1
YJL182C		P46986	
YIR026C	854844	Q02256	YVH1
YKL168C	853686	P36004	KKQ8
YOR261C	854435	Q08723	RPN8
YFL023W	850521	P43573	BUD27
YMR239C	855280	Q02555	RNT1
YDL114W	851444	Q07530	
YGL047W	852835	P53178	ALG13
YFL020C	850524	P43575	PAU5
YMR242C			RPL20A
YGR244C	853159	P53312	LSC2
YMR306C-A		A0A023PXI0	
YLR364W	851079	Q05926	GRX8
YEL003W	856715	P40005	GIM4
YLR106C	850796	Q12019	MDN1
YMR193C-A		Q6B0R2	
YCR053W	850420	P16120	THR4
YGR289C	853207	P53048	MAL11
YLR083C	850772	P32802	EMP70
YCL008C	850349	P25604	STP22
YEL077W-A			
YLR274W	850980	P29496	MCM5
YLR413W	851131	Q06689	INA1
YPR196W	856326	Q06595	
YGL089C	852791	P32435	MF(ALPHA)2
YLR412C-A	1466424	Q3E742	
YMR114C	855141	Q04471	
YJL099W	853346	P40955	CHS6
YMR009W	855021	Q03677	ADI1
YEL017C-A	856697	P40975	PMP2
YNL078W	855646	P53939	NIS1
YBR082C	852376	P15731	UBC4
YLR340W	851052	P05317	RPP0
YGL180W	852695	P53104	ATG1
Q0115	854605	Q9ZZW7	BI3
YCR072C	850435	P25382	RSA4
YMR088C	855113	Q04301	VBA1
YBR280C	852583	P38352	SAF1
YBR061C	852353	P38238	TRM7
YLR055C	850744	P38915	SPT8
YKL102C		P34249	
YLR254C	850956	Q06568	NDL1
YJL090C	853355	P47027	DPB11
YDR247W	851834	Q03785	VHS1
YBL016W	852265	P16892	FUS3
YIR025W	854843	P40577	MND2
YNL209W	855512	P40150	SSB2
YMR253C	855295	Q04835	
YHR177W	856582	P38867	
YCR057C	850422	P25635	PWP2
YMR103C		Q04436	
YAL005C	851259	P10591	SSA1
YER133W	856870	P32598	GLC7
YOR293W	854468	Q08745	RPS10A
YKR090W	853965	P36166	PXL1
YIR042C	854860	P40586	
YPR077C		O13583	
Q0297		Q9ZZV8	
YCL044C	850313	P25573	MGR1
YBR175W	852472	P38123	SWD3
YGR146C	853049	P48235	ECL1
YER152W-A		A0A023PZC7	
YMR254C		Q04838	
YJL055W	853391	P47044	
YGL149W		P53116	
YLR121C	850812	Q12303	YPS3
YJL085W	853359	P19658	EXO70
YBR029C	852317	P38221	CDS1
YGL242C	852609	P53066	
YCL033C	850324	P25566	MXR2
YNL253W	855468	P53851	TEX1
YOR062C	854228	P36025	
YOR339C	854517	P52492	UBC11
YNL173C	855548	P53885	MDG1
YDL197C	851330	P32448	ASF2
YBL057C	852223	P34222	PTH2
YER060W	856788	P40039	FCY21
YKR036C	853908	P36130	CAF4
YKL202W		P36042	
YCL030C	850327	P00815	HIS4
YDR229W	851815	Q04934	IVY1
YCL068C	850291	P25593	
YPL024W	856083	Q02685	RMI1
YER186C	856935	P40101	
YBR298C-A	1466452	Q8TGK4	
YJR109C	853573	P03965	CPA2
YBR192W	852491	P38127	RIM2
YMR303C	855349	P00331	ADH2
YIL075C	854735	P32565	RPN2
YGR106C	852998	P53262	VOA1
YCL035C	850322	P25373	GRX1
YGR004W	852887	P53203	PEX31
YKR084C	853959	P32769	HBS1
YGR209C	853123	P22803	TRX2
YDR095C		Q03831	
YHR174W	856579	P00925	ENO2
YCR008W	850366	P25333	SAT4
YKL216W	853664	P28272	URA1
YPR008W	856117	Q12753	HAA1
YJL167W	853272	P08524	ERG20
YER188W		P40103	
YPR071W	856184	Q12346	
YNL066W	855659	P53616	SUN4
YMR316W	855364	P54005	DIA1
YOR067C	854233	P40351	ALG8
YGR052W	852943	P53233	FMP48
YEL045C		P32616	
YLL042C	850684	Q07879	ATG10
YOR312C			RPL20B
YGR158C	853062	P48240	MTR3
YGR003W	852886	P53202	CUL3
YJL127C	853315	P35208	SPT10
YOR094W	854261	P40994	ARF3
YPL182C		Q08922	
YBR302C	852605	P0CX13	COS2
YBR302C	854907	P0CX13	COS2
YBR302C	852605	P0CX12	COS2
YBR302C	854907	P0CX12	COS2
YML017W	854991	P50109	PSP2
YLR157W-D	1466412	P0CE99	
YHR199C-A	2746858	Q3E7Y6	NBL1
YNL321W	855395	P42839	VNX1
YPR062W	856175	Q12178	FCY1
YJR004C	853460	P20840	SAG1
YLR211C	850908	Q05789	ATG38
YKR055W	853929	Q00246	RHO4
YBR254C	852556	P38334	TRS20
YOL135C	853985	Q08278	MED7
YOL105C	854046	Q12215	WSC3
YHR034C	856429	P38768	PIH1
YDR027C	851591	Q12071	VPS54
YOR329W-A		P0C5R1	
YPL277C	855852	Q08989	
YGR219W		P53307	
YGL247W	852645	P53062	BRR6
YDL106C	851452	P07269	PHO2
YBR204C	852503	P38139	LDH1
YHR179W	856584	Q03558	OYE2
YER022W	856743	P32569	SRB4
YDR404C	852013	P34087	RPB7
YMR104C	855130	P18961	YPK2
YBR220C	852521	P38318	
YJL036W	853416	P47057	SNX4
YER148W-A		A0A023PXK2	
YOR197W	854372	Q08601	MCA1
YGR170W	853080	P53037	PSD2
YDR256C	851843	P15202	CTA1
YMR309C	855357	P32497	NIP1
YFL067W	850477	P43537	
YML133W-A		P0CL30	
YML133W-A		P0CL31	
YML133W-A		P0CL27	
YML133W-A		P0CL29	
YML133W-A		P0CL28	
YOL104C	854047	Q12366	NDJ1
YDR518W	852130	P32474	EUG1
YBR222C	852523	P38137	PCS60
YKL219W	853661	P36034	COS9
YLR400W		Q06051	
YJL150W		P47004	
YLR105C	850795	P16658	SEN2
YLR142W	850833	P09368	PUT1
YNR054C	855790	P53743	ESF2
YDR055W	851625	Q12355	PST1
YOR262W	854436	Q08726	GPN2
YCR091W	850453	P25341	KIN82
YBR290W	852593	P38356	BSD2
YER157W	856901	P40094	COG3
YBR162C	852459	P38288	TOS1
YLR376C	851091	Q12318	PSY3
YFR031C-A	850590	P0CX46	RPL2A
YFR031C-A	854794	P0CX46	RPL2A
YFR031C-A	850590	P0CX45	RPL2A
YFR031C-A	854794	P0CX45	RPL2A
YLR318W	851028	Q06163	EST2
YDL087C	851471	Q07508	LUC7
YGR246C	853161	P29056	BRF1
YDR177W	851757	P21734	UBC1
YAL068W-A		Q8TGK7	
YMR155W	855187	Q03795	
YFL010C	850538	P43582	WWM1
YBR167C	852465	P38291	POP7
YMR313C	855361	P40308	TGL3
YPR125W	856243	Q06493	YLH47
YPR131C	856249	Q06504	NAT3
YHR014W	856405	P23624	SPO13
YJL168C	853271	P46995	SET2
YDL014W	851548	P15646	NOP1
YOR167C	854338	Q3E7X9	RPS28A
YDR289C	851884	Q05543	RTT103
YNR072W	855809	P53631	HXT17
YNR076W	850662	P0CE90	PAU6
YNR076W	855813	P0CE90	PAU6
YNR076W	850662	P0CE91	PAU6
YNR076W	855813	P0CE91	PAU6
YIL068W-A		A0A023PXN3	
YDL159W	851396	P06784	STE7
YKL020C	853848	P35210	SPT23
YLR239C	850940	Q06005	LIP2
YBL033C	852247	P38066	RIB1
YER014C-A	856735	P85052	BUD25
YDR532C	852145	Q04431	KRE28
YOL015W	854145	Q08118	IRC10
YJR036C	853494	P40985	HUL4
YBR228W	852529	P38324	SLX1
YNR031C	855765	P53599	SSK2
YHR171W	856576	P38862	ATG7
YGL183C	852692	P53102	MND1
YEL076C-A	856632	P0CX17	
YEL076C-A	851185	P0CX17	
YEL076C-A	856632	P0CX16	
YEL076C-A	851185	P0CX16	
YMR028W	855043	Q04372	TAP42
YDR137W	851714	P16664	RGP1
YBR263W	852565	P37292	SHM1
YJL162C	853277	P46997	JJJ2
YEL038W	856673	P32626	UTR4
YDL153C	851403	Q12136	SAS10
YJR106W	853570	P47144	ECM27
YKL178C	853677	P06783	STE3
YBR250W	852552	P33757	SPO23
YPL221W	855880	Q08967	FLC1
YKL067W	853798	P36010	YNK1
YGR160W		P53288	
Q0130	854584	P61829	OLI1
Q0130	24573116	P61829	OLI1
YHR121W	856521	P38828	LSM12
YKL097C		P34245	
YPR073C	856187	P40347	LTP1
YDR393W	852002	Q04172	SHE9
YCR108C	1466400	Q3E819	
YNL110C	855613	P53927	NOP15
YNL232W	855489	P53859	CSL4
YJR043C	853500	P47110	POL32
YDR506C	852117	Q04399	GMC1
YDL219W	851307	Q07648	DTD1
YOR161C	854332	Q12412	PNS1
YDL090C	851468	P22007	RAM1
YKL095W	853767	P28320	YJU2
YOR393W	854575	P0CX11	ERR1
YOR393W	855848	P0CX11	ERR1
YOR393W	854575	P0CX10	ERR1
YOR393W	855848	P0CX10	ERR1
YMR154C	855186	Q03792	RIM13
YPL262W	855866	P08417	FUM1
YOR105W	854272	Q08504	
YCR042C	850409	P23255	TAF2
YHR116W	856516	P38824	COX23
YIL063C	854747	P40517	YRB2
YKR031C	853902	P36126	SPO14
YLR262C-A	850967	Q3E764	TMA7
YNL262W	855459	P21951	POL2
YNL142W	855580	P41948	MEP2
YDR033W	851597	Q12117	MRH1
YGR204C-A	1466462	Q8TGT7	
YIL018W	850590	P0CX46	RPL2B
YIL018W	854794	P0CX46	RPL2B
YIL018W	850590	P0CX45	RPL2B
YIL018W	854794	P0CX45	RPL2B
YKL036C		P32859	
YGR039W		P53225	
YHR087W	856487	P38804	RTC3
YHR176W	856581	P38866	FMO1
YIL027C	854785	P40540	
YKR088C	853963	P36164	TVP38
YGL059W	852821	P53170	PKP2
YLL037W		Q07865	
YBR272C	852575	P38348	HSM3
YOR210W	854385	P22139	RPB10
YOR364W		Q08842	
YOL087C	854066	Q99247	DUF1
YGL123W	852754	P25443	RPS2
YML096W	854877	Q04489	
YML016C	854992	P26570	PPZ1
YGL099W	852779	P53145	LSG1
YML006C	855006	Q04233	GIS4
YMR178W	855216	Q03219	
YOR127W	854294	P39083	RGA1
YAL035W	851196	P39730	FUN12
YDR035W	851605	P14843	ARO3
YML109W	854931	P54786	ZDS2
YAL008W	851225	P18411	FUN14
YHR173C	856578	P38864	
YBR120C	852417	P07253	CBP6
YBR084C-A	852379	P0CX82	RPL19A
YBR084C-A	852254	P0CX82	RPL19A
YBR084C-A	852379	P0CX83	RPL19A
YBR084C-A	852254	P0CX83	RPL19A
YOR184W	854356	P33330	SER1
YKL151C	853706	P36059	NNR2
YLR452C	851173	P11972	SST2
YJR066W	853529	P35169	TOR1
YER066W	856796	P40042	RRT13
YOR150W	854321	Q12487	MRPL23
YOR179C	854351	Q08553	SYC1
YOR340C	854518	P46669	RPA43
YNL129W	855594	P53915	NRK1
YML015C	854993	Q04226	TAF11
YOR354C	854536	Q08818	MSC6
YLR372W	851087	P40319	
YMR197C	855237	Q04338	VTI1
YKL105C	853756	P34250	SEG2
YGR102C	852994	P53260	GTF1
YBL062W		P38189	
YDR332W	851932	Q06683	IRC3
YML014W	854994	P49957	TRM9
YBR301W	852603	P38155	PAU24
YBR076W	852368	P38246	ECM8
YPR036W	856148	P41807	VMA13
YNR014W	855748	P53719	
YOR217W	854392	P38630	RFC1
YOR298W	854473	Q08750	MUM3
YIL085C	854724	P40504	KTR7
YDR510W	852122	Q12306	SMT3
YNL005C	855727	P12687	MRP7
YPL031C	856076	P17157	PHO85
YER098W	856835	P39967	UBP9
YBR210W	852511	P38312	ERV15
YLR154W-C	850849	Q8TGM6	TAR1
YPL237W	855838	P09064	SUI3
YNL174W		P53884	
YGL233W	852618	P22224	SEC15
YDL055C	851504	P41940	PSA1
YJL001W	853456	P38624	PRE3
YGL072C		P53161	
YHL010C	856376	P38748	ETP1
YML106W	854865	P13298	URA5
YJR061W	853524	P40355	
YOL006C	854156	P04786	TOP1
YOR259C	854433	P53549	RPT4
YDR480W	852091	Q03373	DIG2
YOR318C		Q99318	
YOR320C	854498	Q12096	GNT1
YJL212C	853218	P40897	OPT1
YHR102W	856502	P38692	KIC1
YKL169C		P36050	
YGL056C	852824	P53172	SDS23
YDL103C	851455	P43123	QRI1
YLR363C	851077	Q12129	NMD4
YDL085C-A	851473	Q3E7B7	
YGR104C	852996	P32585	SRB5
YFL053W	850491	P43550	DAK2
YBR106W	852403	P38264	PHO88
YML025C	854983	P51998	YML6
YGR240C	853155	P16861	PFK1
YJL024C	853429	P47064	APS3
YGR243W	853158	P53311	MPC3
YNL335W	855381	P0CH63	DDI3
YNL335W	850483	P0CH63	DDI3
YNL335W	855381	P0CH64	DDI3
YNL335W	850483	P0CH64	DDI3
YEL035C	856676	P32630	UTR5
YBR005W	852290	P38212	RCR1
YMR172C-A		A0A023PXH6	
YKL150W	853707	P36060	MCR1
YLR207W	850904	Q05787	HRD3
YPL053C	856054	P54070	KTR6
YFR030W	850588	P39692	MET10
YPR109W	856225	Q06104	
YPR159C-A	1466523	Q8TGQ7	
YMR193W	855231	P36525	MRPL24
YOR222W	854397	Q99297	ODC2
YLR312W-A	851022	P36523	MRPL15
YAL020C	851213	P31386	ATS1
YJR125C	853589	P47160	ENT3
YGR275W	853192	P53330	RTT102
YGL088W		P53151	
YJR051W	853510	P21375	OSM1
YGR020C	852903	P39111	VMA7
YGR100W	852992	P53258	MDR1
YDR350C	851952	P50273	ATP22
YHR063C	856460	P38787	PAN5
YER063W	856792	P40040	THO1
YLR188W	850885	P33310	MDL1
YBR153W	852450	P33312	RIB7
YAL032C	851201	P28004	PRP45
YER127W	856864	P40079	LCP5
YLR011W	850698	Q07923	LOT6
YBR132C	852429	P38090	AGP2
YML052W	854953	P54003	SUR7
YCL055W	850303	P25583	KAR4
YOL165C	853999	Q08361	AAD15
YPL122C	855981	Q02939	TFB2
YLR159W	850858	P0CE98	
YLR159W	850851	P0CE98	
YLR159W	850856	P0CE98	
YLR159W	850858	P0CE96	
YLR159W	850851	P0CE96	
YLR159W	850856	P0CE96	
YLR159W	850858	P0CE97	
YLR159W	850851	P0CE97	
YLR159W	850856	P0CE97	
YPL085W	856020	P48415	SEC16
YML079W	854896	Q03629	
YER154W	856898	P39952	OXA1
YOL007C	854155	Q08054	CSI2
YOR307C	854484	P22215	SLY41
YGR231C	853146	P50085	PHB2
YDR342C	851943	P39004	HXT7
YAL015C	851218	P31378	NTG1
YHR050W-A	1466528	Q05451	
YGR215W	853129	P53305	RSM27
YLR328W	851039	Q06178	NMA1
YAL028W	851205	P39734	FRT2
YML101C-A		Q6B0Z2	
YHR137C-A		Q8TGN6	
YOL051W	854106	P19659	GAL11
YML047C	854959	Q04705	PRM6
YFR003C	850553	P43587	YPI1
YKL023C-A	3799976	Q2V2P3	
YHL017W	856369	P38745	
YGR018C	852901	P53211	
YFL039C	850504	P60010	ACT1
YGL152C		P53113	
YGL212W	852660	P32912	VAM7
YAL042C-A		O13514	
YOR091W	854258	Q12000	TMA46
YLR171W		O13562	
YJR112W-A	1466470	Q3E743	
YAL065C	851232	O13511	
YJR050W	853509	P21374	ISY1
YJR011C	853468	P47086	
YDR087C	851660	P35178	RRP1
YPR104C	856219	P39521	FHL1
YBR166C	852464	P20049	TYR1
YLR241W	850942	Q06538	CSC1
YNL240C	855481	P23503	NAR1
YOR079C	854246	Q12067	ATX2
YLR245C	850946	Q06549	CDD1
YOL022C	854136	P25040	TSR4
YAL009W	851224	P18410	SPO7
YNL318C	855398	P42833	HXT14
YDL236W	851362	P19881	PHO13
YGL066W	852814	P53165	SGF73
YJR136C	853601	P47168	TTI2
YJL200C	853230	P39533	ACO2
YHL035C	856350	P38735	VMR1
YDR012W	851575	P49626	RPL4B
YDL121C	851436	Q07541	
YKL138C-A	853719	P69852	HSK3
YNL256W	855465	P53848	FOL1
YDR525W-A	852138	P56508	SNA2
YIL008W	854809	P40554	URM1
YIL030W-A		A0A023PZJ3	
YLR360W	851074	Q05919	VPS38
YCR003W	850359	P25348	MRPL32
YOR278W	854452	P06174	HEM4
YOR024W		Q12070	
YJL188C			BUD19
YER032W	856754	P40020	FIR1
YLR205C	850902	P32339	HMX1
YDL190C	851337	P54860	UFD2
YBR221W-A	1466450	Q3E781	
YPR186C	856316	P39933	PZF1
YDL047W	851513	P20604	SIT4
YDR099W	851676	P34730	BMH2
YJL170C	853269	P46993	ASG7
YPR201W	856331	Q06598	ARR3
YBR131C-A		Q8TGQ5	
YBR161W	852458	P38287	CSH1
YMR174C	855212	P01094	PAI3
YHR043C	856439	P38773	DOG2
YDR092W	851666	P52490	UBC13
YDR164C	851742	P30619	SEC1
YBR109C	852406	P06787	CMD1
YPL138C	855965	Q03012	SPP1
YOL148C	854017	P50875	SPT20
YIL076W	854734	P40509	SEC28
YGL060W	852820	P53169	YBP2
YGL185C	852690	P53100	
YPR030W	856142	Q12734	CSR2
YJL129C	853312	P12685	TRK1
YOL078W	854076	Q08236	AVO1
YJR112W	853576	P47149	NNF1
YIR036W-A		A0A023PYI5	
YIL029C	854783	P40538	
YER180C-A	856928	Q3E784	SLO1
YIR023W	854841	P21657	DAL81
YEL071W	856638	P39976	DLD3
YDR058C	851628	P54857	TGL2
YJR103W	853567	P38627	URA8
YHR115C	856515	P38823	DMA1
YNL012W	855720	P53541	SPO1
YLR161W	850858	P0CE98	
YLR161W	850851	P0CE98	
YLR161W	850856	P0CE98	
YLR161W	850858	P0CE96	
YLR161W	850851	P0CE96	
YLR161W	850856	P0CE96	
YLR161W	850858	P0CE97	
YLR161W	850851	P0CE97	
YLR161W	850856	P0CE97	
YBR255W	852557	P38335	MTC4
YJL044C	853406	P32806	GYP6
YDL020C	851542	Q03465	RPN4
YBR205W	852504	P38130	KTR3
YLR287C	850993	Q05881	
YDL025C	851536	Q12100	RTK1
YBR296C-A	1466451	Q8TGU5	
YGR145W	853048	P48234	ENP2
YNR029C	855763	P53729	
YDR374C	851980	Q06390	PHO92
YHL007C	856382	Q03497	STE20
YJL157C	853283	P21268	FAR1
YKL082C	853780	P36080	RRP14
YCR022C		P25620	
YLR366W		Q7LIF1	
YDL207W	851320	Q12315	GLE1
YDR270W	851862	P38995	CCC2
YCR089W	850451	P25653	FIG2
YMR218C	855258	Q03660	TRS130
YOR089C	854256	P36017	VPS21
YMR315W	855363	Q04869	
YMR001C	855013	P32562	CDC5
YDR152W	851730	Q03768	GIR2
YDL148C	851407	Q99207	NOP14
YOL098C	854055	Q12496	SDD3
YJR142W	853607	P47173	
YLR410W	851126	Q06685	VIP1
YOR171C	854342	Q12246	LCB4
YBL043W	852237	P38195	ECM13
YJL034W	853418	P16474	KAR2
YEL057C	856653	P39983	SDD1
YNL130C-A	1466512	Q3E808	DGR1
YOL089C	854064	Q12180	HAL9
YAR014C	851271	P27637	BUD14
YNL107W	855616	P53930	YAF9
YHR018C	856411	P04076	ARG4
YOL150C		Q08293	
YLR230W		A0A023PXG7	
YLR097C	850786	Q12347	HRT3
YLR397C	851113	P32794	AFG2
YEL069C	856640	P39924	HXT13
YLR120C	850811	P32329	YPS1
YDR379C-A	851986	Q3E785	SDH6
YLR335W	851048	P32499	NUP2
YNR065C	855802	P53751	
YNL332W	855384	P42883	THI12
YKR070W	853944	P36151	
YGL011C	852873	P21243	SCL1
YGR147C	853050	P37293	NAT2
YGR036C	852924	P53223	CAX4
YJL183W	853256	P46985	MNN11
YNL023C	855708	P53971	FAP1
YAL037C-B		Q8TGR8	
YOR095C	854262	Q12189	RKI1
YJR031C	853488	P47102	GEA1
YLR399C	851115	P35817	BDF1
YML121W	854918	Q00582	GTR1
YGL122C	852755	P32505	NAB2
YLL044W		Q07880	
YDR218C	851804	Q04921	SPR28
YDL018C	851544	Q12403	ERP3
YMR085W	855109	P0CF18	
YHR076W	856475	P38797	PTC7
YJL066C	853379	P40364	MPM1
YMR105W-A	1466500	Q8TGS8	
YBR130C	852427	P38272	SHE3
YKR021W	853891	P36117	ALY1
YOL146W	854019	Q12146	PSF3
YOR224C	854399	P20436	RPB8
YMR122C		Q03879	
YFL029C	850515	P43568	CAK1
YBR206W		P38309	
YOR302W	854478	P08521	
YGL261C	851229	Q3E770	PAU11
YGL261C	852630	Q3E770	PAU11
YGL261C	852163	Q3E770	PAU11
YGL261C	851229	P0CE93	PAU11
YGL261C	852630	P0CE93	PAU11
YGL261C	852163	P0CE93	PAU11
YGL261C	851229	P0CE92	PAU11
YGL261C	852630	P0CE92	PAU11
YGL261C	852163	P0CE92	PAU11
YAR053W		P39559	
YLR453C	851174	Q06208	RIF2
YJR077C	853540	P23641	MIR1
YDR507C	852119	Q12263	GIN4
YBR122C	852419	P36531	MRPL36
YLL057C	850669	Q12358	JLP1
YMR217W	855257	P38625	GUA1
YDL003W	851561	Q12158	MCD1
YLR388W	851104	P41057	RPS29A
YPR190C	856320	P32349	RPC82
YPL043W	856063	P37838	NOP4
YNR056C	855793	P53744	BIO5
YGL041C		P53182	
YEL043W	856668	P32618	
YKR016W	853886	P36112	
YGR099W	852991	P53038	TEL2
YGR046W	852937	P53230	TAM41
YDR524C-B	1466438	Q3E6R4	
YFL030W	850514	P43567	AGX1
YMR298W	855344	Q03579	LIP1
YDR371W	851977	Q06350	CTS2
YBR295W	852598	P38360	PCA1
YNL186W	855535	P53874	UBP10
YMR057C		Q04674	
YLR249W	850951	P16521	YEF3
YER096W	856832	P39000	SHC1
YER017C	856737	P39925	AFG3
YFL058W	850486	P43534	THI5
YJL064W		P47038	
YML042W	854965	P32796	CAT2
YEL019C	856695	P38632	MMS21
YDR359C	851962	Q06337	EAF1
YMR320W		Q04897	
YFL016C	850530	P35191	MDJ1
YDL180W	851374	Q12301	
YLR151C	850844	Q12524	PCD1
YKR033C		P36128	
YHL019C	856367	P38700	APM2
YGL188C-A	1466453	Q8TGU1	
YNL153C	855569	P53900	GIM3
YPL108W	855996	Q02872	
YMR287C	855331	P39112	DSS1
YNL130C	855593	P17898	CPT1
YCL016C	850344	P25559	DCC1
YBR004C	852289	P38211	GPI18
YIL053W	854758	P41277	
YLR260W	850964	Q06147	LCB5
YHR061C	856458	P38785	GIC1
YNL088W	855636	P06786	TOP2
YLL010C	850650	Q07800	PSR1
YGR216C	853130	P53306	GPI1
YBR202W	852501	P38132	MCM7
YER009W	856727	P33331	NTF2
YDL133W	851423	Q12516	SRF1
YAL036C	851195	P39729	RBG1
YMR289W	855333	Q03266	ABZ2
YKR059W	853933	P10081	TIF1
YKR059W	853303	P10081	TIF1
YGR047C	852938	P33339	TFC4
YKR069W	853943	P36150	MET1
YOR286W	854460	Q08742	RDL2
YJL136W-A	1466464	Q3E801	
YOR046C	854211	P20449	DBP5
YPL105C	855999	Q02875	SYH1
YDR335W	851935	P52918	MSN5
YLR133W	850824	P20485	CKI1
YNL216W	855505	P11938	RAP1
YLR329W	851040	Q02721	REC102
YIL101C	854706	P40489	XBP1
YDR351W	851953	P42223	SBE2
YDL150W	851404	P25441	RPC53
YBR001C	852286	P35172	NTH2
YKR053C	853927	P23501	YSR3
YIL120W	854686	P40475	QDR1
YPL168W	855935	Q12467	MRX4
YFR040W	850601	P43612	SAP155
YOR388C	854570	Q08911	FDH1
YML048W	854957	Q04697	GSF2
YOR228C	854403	Q12106	MCP1
YGR238C	853153	P50090	KEL2
YLL011W	850649	P33750	SOF1
YPR018W	856129	Q12495	RLF2
YOL112W	854037	Q12317	MSB4
YGR282C	853199	P15703	BGL2
YER104W	856841	P40063	RTT105
YOR141C	854309	Q12386	ARP8
YPR132W	853015	P0CX30	RPS23B
YPR132W	856250	P0CX30	RPS23B
YPR132W	853015	P0CX29	RPS23B
YPR132W	856250	P0CX29	RPS23B
YNL276C		P53837	
YCL031C	850326	P25368	RRP7
YNL108C	855615	P53929	
YLR384C	851100	Q06706	IKI3
YPL222C-A		Q8TGL0	
YKL218C	853662	P36007	SRY1
YCL048W-A	3799968	Q2V2Q2	
YDL177C	851377	Q12257	
YJR010C-A	853467	P46965	SPC1
YMR250W	855291	Q04792	GAD1
YOL131W	853989	Q08270	
YPR137W	856255	Q06506	RRP9
YLR203C	850900	P32335	MSS51
YPL219W	855882	Q08966	PCL8
YBL113C	852159	Q7M4S9	
YMR230W-A	1466504	Q3E7B5	
YNL252C	855469	P36528	MRPL17
YDR171W	851751	Q12329	HSP42
YDR364C	851968	P40968	CDC40
YBR288C	852591	P38153	APM3
YLR156C-A	1466414	P0CY05	
YLR156C-A	1466415	P0CY05	
YLR156C-A	1466411	P0CY05	
YLR156C-A	1466410	P0CY05	
YLR156C-A	1466414	P0CY02	
YLR156C-A	1466415	P0CY02	
YLR156C-A	1466411	P0CY02	
YLR156C-A	1466410	P0CY02	
YLR156C-A	1466414	P0CY04	
YLR156C-A	1466415	P0CY04	
YLR156C-A	1466411	P0CY04	
YLR156C-A	1466410	P0CY04	
YLR156C-A	1466414	P0CY03	
YLR156C-A	1466415	P0CY03	
YLR156C-A	1466411	P0CY03	
YLR156C-A	1466410	P0CY03	
YKL167C	853687	P32388	MRP49
YCR018C	850377	P09007	SRD1
YCL022C			
YBR282W	852585	P36526	MRPL27
YJR033C	853490	P47104	RAV1
YOR049C			RSB1
YER067W	856797	P40043	RGI1
YDR309C	851904	Q06648	GIC2
YGL132W		P53126	
YBL072C	856839	P0CX40	RPS8A
YBL072C	852206	P0CX40	RPS8A
YBL072C	856839	P0CX39	RPS8A
YBL072C	852206	P0CX39	RPS8A
YAL059C-A		A0A023PYD0	
YFL041W	850502	P43561	FET5
YOL143C	854022	P50861	RIB4
YLR394W	851110	Q06032	CST9
YCR087C-A	850449	P37263	
YBR103W	852399	P38262	SIF2
YOR172W	854343	Q12340	YRM1
YDL239C	851359	Q07732	ADY3
YDL228C		Q07658	
YJL068C	853377	P40363	
YDL156W	851399	Q12510	CMR1
YBR107C	852404	P38265	IML3
YDL016C		Q12115	
YJL112W	853332	P47025	MDV1
YMR124W	855154	P39523	EPO1
YBL024W	852257	P38205	NCL1
YMR311C	855359	P41818	GLC8
YKL142W	853715	P35719	MRP8
YJL039C	853410	P47054	NUP192
