Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	Gene name
YGL050W	852832	P53177	TYW3
YBR091C	852388	P32830	TIM12
YDR199W		A0A023PXB9	
YGR273C	853190	P53329	
YIL016W	854796	P40548	SNL1
YML001W	855012	P32939	YPT7
YDR266C	851859	Q05580	HEL2
YPL092W	856013	P41930	SSU1
YGR086C	852977	P53252	PIL1
YGR228W		P53308	
YJR130C	853594	P47164	STR2
YKR058W	853932	P36143	GLG1
YEL010W		P40000	
YKL183C-A	1500485	Q3E765	
YLR253W	850955	Q06567	MCP2
YDL242W		Q07746	
YDR002W	851565	P41920	YRB1
YGL145W	852732	P33891	TIP20
YDR214W	851800	Q12449	AHA1
YBR284W	852587	P38150	
YEL040W	856671	P32623	UTR2
YDR130C	851708	Q03898	FIN1
YNR036C	855772	P53732	MRPS12
YEL059W		P39982	HHY1
YOL029C	854128	Q08187	
Q0160	854590	P03882	SCEI
YDL176W	851378	Q12027	
YIL144W	854662	P40460	
YGR098C	852990	Q03018	ESP1
YOL155W-A	1466474	Q3E7Y8	
YPR181C	856311	P15303	SEC23
YGR074W	852964	Q02260	SMD1
YBR158W	852455	P38285	AMN1
YDR358W	851960	Q06336	GGA1
YDR544C		Q03057	
YLR390W-A	851107	O13547	CCW14
YGL098W	852780	P53146	USE1
YDR460W	852071	Q03290	TFB3
YNL304W	855412	P48559	YPT11
YOR072W		Q08486	
YOL161C	854003	Q08322	PAU20
YBR111W-A	1466445	Q6WNK7	SUS1
YJR069C	853532	P47119	HAM1
YER105C	856842	P40064	NUP157
YHR182C-A		A0A023PZI9	
YML114C	854926	Q03750	TAF8
YBL071C	852208	P38185	
YJR120W	853584	P47157	
YIL026C	854786	P40541	IRR1
YJL186W	853253	P46982	MNN5
Q0070	854597	Q9ZZX1	AI5_ALPHA
YJL008C	853447	P47079	CCT8
YNL119W	855603	P53923	NCS2
YDR034W-B	851604	Q6Q5X2	
YCR036W	850402	P25332	RBK1
YNL034W	855697	P53963	
YHR025W	856420	P17423	THR1
YJL061W	853385	P40368	NUP82
YMR319C	855369	P40988	FET4
YOL122C	854027	P38925	SMF1
YLR233C	850934	P17214	EST1
YDL028C	851533	P54199	MPS1
YNL187W	855534	P53873	SWT21
YEL053C	856657	Q02197	MAK10
YCR063W	850427	P25337	BUD31
YOR252W	854426	Q08687	TMA16
YAL034W-A	851197	P39731	MTW1
YEL046C	856665	P37303	GLY1
YOR157C	854328	P25043	PUP1
YNL310C	855406	P42844	ZIM17
YGL096W	852783	P53147	TOS8
YGR240C-A	1466463	Q3E786	
YCL042W	850315	P25572	
YBR126W-B		A0A023PXH5	
YDR061W	851633	Q12298	
YER137C	856877	P40083	
YDR060W	851632	Q12176	MAK21
YJR085C	853547	P47131	
YHR055C	856450	P0CX80	CUP1-2
YHR055C	856452	P0CX80	CUP1-2
YHR055C	856450	P0CX81	CUP1-2
YHR055C	856452	P0CX81	CUP1-2
YLR347W-A		Q8TGM2	
YPR171W	856301	Q06604	BSP1
YHR073W	856472	P38713	OSH3
YPR122W	856240	P40851	AXL1
YGR172C	853082	P53039	YIP1
YJR040W	853497	P37020	GEF1
YBR229C	852530	P38138	ROT2
YDR169C-A	1466433	Q3E789	
YDR363W	851965	Q06340	ESC2
YKR052C	853926	P23500	MRS4
YPL091W	856014	P41921	GLR1
YKL157W	853699	P32454	APE2
YPL137C	855967	Q03016	GIP3
YDR422C	852032	P32578	SIP1
YOL107W	854043	Q12239	
YDR119W	851697	Q04602	VBA4
YER013W	856732	P24384	PRP22
YHL015W-A	1466525	Q3E7Z6	
